Sr.No.,Name of company,Year founded,Technology,Business Model,Location,Number of Employees,Revenue,Most Recent Funding Amount,Number of Funding Rounds
1,Razberi,2011,Artificial Intelligence,B2C,United States (USA),17,SMEs,15.0,2.0
2,React Labs,2021,Artificial Intelligence,B2C,"Maharashtra, India",50,SMEs,10.0,2.0
3,Clodura,2015,Artificial Intelligence,B2B,"Maharashtra, India",70,SMEs,20.0,3.0
4,ClanConnect.ai,2020,Artificial Intelligence,B2B,"Delhi, India",20,SMEs,7.0,2.0
5,City Surveillance Services Private Limited,2016,Video Analytics,B2B,"Tamil Nadu, India",5,Medium Enterprises,25.0,3.0
6,Clairco,2018,Nano-tech,B2B,"Karnataka, India",20,SMEs,2.0,1.0
7,Ciphercode,2018,Artificial Intelligence,B2B,"Karnataka, India",15,SMEs,15.0,2.0
8,Cialfo,2017,Artificial Intelligence,B2B,"Uttar Pradesh, India",250,SMEs,7.0,2.0
9,Cerebras Systems,2015,Computer Vision,B2B,"Karnataka, India",300,Medium Enterprises,65.0,7.0
10,Cere Labs,2015,Deep Tech,B2B,"Maharashtra, India",50,SMEs,15.0,3.0
11,Celusion Technologies,2004,Computer Vision,B2B,"Maharashtra, India",250,SMEs,7.0,2.0
12,Capital Numbers,2012,IoT,B2B,"West Bengal, India",600,SMEs,7.0,2.0
13,CamfyVision Technologies Pvt Ltd.,2017,Computer Vision,B2B,"Karnataka, India",50,SMEs,2.0,1.0
14,ReadyAssist,2016,Artificial Intelligence,B2C,Karnataka,200,Medium Enterprises,25.0,3.0
15,ByGrad,2016,Big Data,B2C,"Karnataka, India",250,SMEs,7.0,2.0
16,Builder.ai,2012,Artificial Intelligence,B2B,"Haryana, India",500,SMEs,15.0,3.0
17,Brillio,2014,Artificial Intelligence,B2B,"Karnataka, India",1000,Large Enterprises,100.0,4.0
18,Brightcove,2004,Video hosting,B2B,"Maharashtra, India",400,Large Enterprises,150.0,10.0
19,BrightMoney,2019,Artificial Intelligence,B2C,"Karnataka, India",150,SMEs,7.0,2.0
20,Recogni,2017,Artificial Intelligence,B2B,United States (USA),0,SMEs,7.0,2.0
21,Recotap,2018,Artificial Intelligence,B2B,Karnataka,50,SMEs,2.0,1.0
22,Recursion,2013,Artificial Intelligence,B2B,United States (USA),500,Large Enterprises,1.3,8.0
23,Bridcodes Global,2008,Artificial Intelligence,B2C,"Karnataka, India",50,SMEs,7.0,2.0
24,Borgfy,2020,Artificial Intelligence,B2B,"Delhi, India",50,SMEs,2.0,1.0
25,Bolo Indya,2019,Artificial Intelligence,C2C,"Haryana, India",0,SMEs,7.0,2.0
26,Bluesemi,2017,--,--,"Telangana, India",8,SMEs,15.0,3.0
27,Bizom,2008,Machine Learning,B2B,"Karnataka, India",400,Medium Enterprises,25.0,4.0
28,BitVivid Solutions,2019,Computer Vision,B2B,"Uttar Pradesh, India",50,SMEs,7.0,2.0
29,RenewBuy.com,2014,Artificial Intelligence,D2C,"Haryana, India",53,SMEs,,
30,bitsCrunch,2020,Blockchain,B2B,"Karnataka, India",50,SMEs,7.0,2.0
31,Renfed,2021,Artificial Intelligence,B2B,"Karnataka, India",20,SMEs,2.0,1.0
32,Rephrase.ai,2023,Artificial Intelligence,B2B,Karnataka,50,SMEs,7.0,2.0
33,BIK.ai,2019,NLP (Natural Language Processing),B2B,"Karnataka, India",250,SMEs,2.0,1.0
34,Big Bang Boom Solutions,2018,Deep Tech,B2B,"Tamil Nadu, India",50,SMEs,7.0,2.0
35,BharatRohan,2016,Remote Sensing,B2B,"Telangana, India",50,Medium Enterprises,25.0,3.0
36,Bewgle,2017,NLP (Natural Language Processing),B2B,"Karnataka, India",50,SMEs,15.0,3.0
37,Betterhalf.ai,2016,Artificial Intelligence,B2C,"Karnataka, India",50,SMEs,7.0,2.0
38,Beatoven.ai,2021,Artificial Intelligence,B2C,"Karnataka, India",10,SMEs,2.0,1.0
39,BankBuddy,2017,NLP (Natural Language Processing),B2C,"Karnataka, India",50,SMEs,2.0,1.0
40,BangDB,2015,Big Data,B2B,"Karnataka, India",50,SMEs,15.0,3.0
41,Ripik.AI,2021,Artificial Intelligence,B2B,Not Specified,50,SMEs,7.0,2.0
