,Company/Brand,HeadQuarter,Sector,What it does,Investor,Amount($),Stage,Year
0,Happy Cow Dairy,"Mumbai, Maharashtra, India","Agriculture, Farming",A startup which aggregates milk from dairy farmers in rural Maharashtra.,Undisclosed,584795.0,Seed,2018
1,MyLoanCare,"Gurgaon, Haryana, India","Credit, Financial Services, Lending, Marketplace",Leading Online Loans Marketplace in India,Undisclosed,950292.0,Series A,2018
2,Eunimart,"Hyderabad, Andhra Pradesh, India","E-Commerce Platforms, Retail, SaaS",Eunimart is a one stop solution for merchants to create a difference by selling globally.,Undisclosed,1140351.0,Seed,2018
3,Tripshelf,"Kalkaji, Delhi, India","Internet, Leisure, Marketplace",Tripshelf is an online market place for holiday packages.,Undisclosed,233918.0,Seed,2018
4,Hyperdata.IO,"Hyderabad, Andhra Pradesh, India",Market Research,Hyperdata combines advanced machine learning with human intelligence.,Undisclosed,730994.0,Angel,2018
5,Freightwalla,"Mumbai, Maharashtra, India","Information Services, Information Technology",Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,Undisclosed,1140351.0,Seed,2018
6,Microchip Payments,"Bangalore, Karnataka, India",Mobile Payments,Microchip payments is a mobile-based payment application and point-of-sale device,Undisclosed,1140351.0,Seed,2018
7,BizCrum Infotech Pvt. Ltd.,"Delhi, Delhi, India","B2B, Shoes",Building Transactionary B2B Marketplaces,Undisclosed,1140351.0,Seed,2018
8,Emojifi,"Bengaluru, Karnataka, India",Internet,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",Undisclosed,1140351.0,Seed,2018
9,Flock,"India, Asia","Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat",Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,Undisclosed,1140351.0,Seed,2018
10,Freshboxx,"Hubli, Karnataka, India",Food Delivery,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",Undisclosed,1140351.0,Seed,2018
11,Wide Mobility Mechatronics,"Bangalore, Karnataka, India",Industrial Automation,Wide Mobility Mechatronics is a Private Company limited by Shares,Undisclosed,1140351.0,Seed,2018
12,Pitstop,"Bengaluru, Karnataka, India","Automotive, Search Engine, Service Industry",Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,Undisclosed,1461988.0,Seed,2018
13,AppWharf,"New Delhi, Delhi, India","Artificial Intelligence, Product Search, SaaS, Service Industry, Software",Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,Undisclosed,1140351.0,Seed,2018
